VAR,VAR_CAT
f.6159.0_5_Categorical,f.6159.0_5_Categorical_0
f.6159.0_5_Categorical,f.6159.0_5_Categorical_1
f.6159.0_6_Categorical,f.6159.0_6_Categorical_0
f.6159.0_6_Categorical,f.6159.0_6_Categorical_1
f.6159.0_7_Categorical,f.6159.0_7_Categorical_0
f.6159.0_7_Categorical,f.6159.0_7_Categorical_1
f.6159.0_8_Categorical,f.6159.0_8_Categorical_0
f.6159.0_8_Categorical,f.6159.0_8_Categorical_1
f.6164.0_1_Categorical,f.6164.0_1_Categorical_0
f.6164.0_1_Categorical,f.6164.0_1_Categorical_1
f.6164.0_2_Categorical,f.6164.0_2_Categorical_0
f.6164.0_2_Categorical,f.6164.0_2_Categorical_1
f.6164.0_3_Categorical,f.6164.0_3_Categorical_0
f.6164.0_3_Categorical,f.6164.0_3_Categorical_1
f.6164.0_4_Categorical,f.6164.0_4_Categorical_0
f.6164.0_4_Categorical,f.6164.0_4_Categorical_1
f.6164.0_5_Categorical,f.6164.0_5_Categorical_0
f.6164.0_5_Categorical,f.6164.0_5_Categorical_1
MED_ANTIPLT_Categorical,MED_ANTIPLT_Categorical_0
MED_ANTIPLT_Categorical,MED_ANTIPLT_Categorical_1
MED_ANTIPSYCHO_Categorical,MED_ANTIPSYCHO_Categorical_0
MED_ANTIPSYCHO_Categorical,MED_ANTIPSYCHO_Categorical_1
MED_ANTIDM_Categorical,MED_ANTIDM_Categorical_0
MED_ANTIDM_Categorical,MED_ANTIDM_Categorical_1
MED_ANTIDM_CVD_BNF_Categorical,MED_ANTIDM_CVD_BNF_Categorical_0
MED_ANTIDM_CVD_BNF_Categorical,MED_ANTIDM_CVD_BNF_Categorical_1
MED_INSULIN_Categorical,MED_INSULIN_Categorical_0
MED_INSULIN_Categorical,MED_INSULIN_Categorical_1
MED_MEFORMIN_Categorical,MED_MEFORMIN_Categorical_0
MED_MEFORMIN_Categorical,MED_MEFORMIN_Categorical_1
MED_ERECTILE_Categorical,MED_ERECTILE_Categorical_0
MED_ERECTILE_Categorical,MED_ERECTILE_Categorical_1
MED_FEM_HORM_Categorical,MED_FEM_HORM_Categorical_0
MED_FEM_HORM_Categorical,MED_FEM_HORM_Categorical_1
MED_LIPID_Categorical,MED_LIPID_Categorical_0
MED_LIPID_Categorical,MED_LIPID_Categorical_1
MED_STATIN_Categorical,MED_STATIN_Categorical_0
MED_STATIN_Categorical,MED_STATIN_Categorical_1
MED_STEROID_Categorical,MED_STEROID_Categorical_0
MED_STEROID_Categorical,MED_STEROID_Categorical_1
